Number_of_Farms,Total_Emissions,Food_Type,Impact_Level
9,6.1000000000000005,Poultry Meat,Alto
9,0.5,Other Vegetables,Baixo
10,0.3,Citrus Fruit,Baixo
5,7.2,Pig Meat,Alto
9,21.1,Beef (dairy herd),Alto
3,21.2,Cheese,Alto
4,4.0,Rice,Alto
2,2.4,Groundnuts,Médio
3,1.4,Beet Sugar,Baixo
6,1.6,Oatmeal,Médio
6,0.9,Cassava,Baixo
5,0.3,Apples,Baixo
9,16.500000000000004,Coffee,Alto
4,6.0,Olive Oil,Alto
10,3.5000000000000004,Sunflower Oil,Alto
1,1.0,Soymilk,Baixo
6,4.5,Eggs,Alto
9,5.999999999999999,Soybean Oil,Alto
10,1.6,Other Pulses,Médio
3,7.6,Palm Oil,Alto
1,0.7,Other Fruit,Baixo
3,0.7999999999999999,Bananas,Baixo
10,1.4000000000000004,Wheat & Rye (Bread),Baixo
6,1.4,Wine,Baixo
3,5.1,Fish (farmed),Alto
1,0.3,Potatoes,Baixo
7,0.2,Nuts,Baixo
1,18.7,Dark Chocolate,Alto
2,1.1,Maize (Meal),Baixo
1,11.8,Shrimps (farmed),Alto
